split,model_name,n_rows,multi_logloss,accuracy,macro_f1,weighted_f1,ovr_macro_auc,danger_logloss_binary_3_4,danger_brier_binary_3_4,severe_precision_at_0_50,severe_recall_at_0_50,severe_f1_at_0_50,severe_roc_auc,severe_pr_auc,ordinal_mae_predicted_class,ordinal_mae_expected_severity,predicted_class_share_sev1,predicted_class_share_sev2,predicted_class_share_sev3,predicted_class_share_sev4,max_predicted_class_share,unique_predicted_classes,danger_probability_std,is_collapsed
validation,base_lightgbm,250000,0.469535727564327,0.858848,0.2611913380685302,0.8313053776490122,0.6268180561638668,0.41453053887234154,0.12737011109208876,0.19362141287702245,0.10422939068100358,0.13551107900929657,0.6194163673084713,0.15861878572382473,0.160412,0.33069116256715947,4.8e-05,0.953592,0.04552,0.00084,0.953592,4,0.15610716246658912,True
test,base_lightgbm,249937,0.5959710704732224,0.8907724746636152,0.25346659046801423,0.8934754987368927,0.6291467347663627,0.3757107990362546,0.11087215310655864,0.06843698135311921,0.1396414342629482,0.09185612264954465,0.5833182586643634,0.05541635406351893,0.13623033004317087,0.35397604849397085,0.00022805747048256162,0.9374242309061883,0.06085933655281131,0.0014883750705177706,0.9374242309061883,4,0.16154127518479577,False
validation,calibrated_lightgbm,250000,0.44382867110821766,0.888152,0.2351908109092912,0.8355407563628352,0.6099699862828595,0.3452509818122877,0.09827861555053957,0.0,0.0,0.0,0.6184123200824969,0.15822428769838537,0.131716,0.17808177274674666,0.0,1.0,0.0,0.0,1.0,1,0.026273477066487517,True
test,calibrated_lightgbm,249937,0.32059428097255643,0.9461744359578613,0.24308572203913895,0.9200059837591671,0.6097037715120376,0.18791300643815173,0.04152337607667429,0.0,0.0,0.0,0.5772386487514305,0.053821022208979136,0.08100041210385017,0.14157885621370633,0.0,1.0,0.0,0.0,1.0,1,0.027855473286684654,True
